,open,close,high,low,volume,money
2010/11/23,3156.48,3107.18,3156.48,3061.62,7739959100,1.05281E+11
2010/11/24,3088.99,3177.04,3177.41,3088.99,7533208300,1.07688E+11
2010/11/25,3197.97,3223.48,3227.05,3172.28,8344209400,1.16948E+11
2010/11/26,3214.13,3194.85,3224.52,3170.36,6446782400,96226367197
2010/11/29,3183.54,3190.05,3206.76,3159.46,5899489200,88799073974
2010/11/30,3187.53,3136.99,3205.78,3060.44,8576235500,1.20572E+11
2010/12/1,3127.26,3136.02,3150.44,3111.64,4888266800,69472579579
2010/12/2,3185.76,3155.06,3194.23,3154.32,6102390800,89764278070
2010/12/3,3161.93,3158.16,3171.38,3134.42,5047535400,71387337327
2010/12/6,3168.88,3165.57,3185.33,3140.55,5636263000,80043207937
2010/12/7,3152.73,3200.34,3214.69,3112.22,5848365300,85548293130
2010/12/8,3194.89,3171.88,3215.28,3166.77,5951566300,87056105048
2010/12/9,3156,3123.37,3175.05,3122.2,6615296500,83159036199
2010/12/10,3107.38,3161.98,3172.16,3101.08,5710810500,78069117443
2010/12/13,3176.34,3261.06,3261.34,3173.56,9571373900,1.32088E+11
2010/12/14,3270.2,3269.47,3279.36,3254.18,8410424100,1.14929E+11
2010/12/15,3270.78,3247.64,3282.77,3242.52,7226978500,1.04793E+11
2010/12/16,3246.01,3230.66,3258.39,3224.12,5679962500,79262377015
2010/12/17,3229.3,3225.66,3232.84,3212.58,4491914700,65697259729
2010/12/20,3239.02,3178.66,3249.76,3118,7475969300,1.07522E+11
2010/12/21,3184.7,3249.51,3251.55,3168.89,7985242000,1.12462E+11
2010/12/22,3253.82,3215.45,3263.45,3201.67,6993625800,98309032433
2010/12/23,3210.67,3188.61,3237.64,3183.15,6131584700,84430476449
2010/12/24,3170.64,3162.95,3187.72,3139.45,5513776700,72989136209
2010/12/27,3176.11,3099.71,3219.66,3092.26,7001710700,99855478580
2010/12/28,3084.82,3044.93,3095.36,3041.33,5632574900,74843956564
2010/12/29,3049.93,3061.83,3062.56,3025.22,4519277500,60134777207
2010/12/30,3063.05,3064.1,3079.91,3027.9,5428142900,70284275917
2010/12/31,3069.05,3128.26,3129.45,3067.11,6256607800,90545901164
2011/1/4,3155.56,3189.68,3194.36,3143.6,8541044000,1.2916E+11
2011/1/5,3170.18,3175.66,3193.78,3158.87,7926881000,1.16943E+11
2011/1/6,3177.84,3159.64,3198.05,3152.57,5968109200,91568447016
2011/1/7,3156.36,3166.62,3209.9,3141.13,8409323300,1.13651E+11
2011/1/10,3162.09,3108.19,3182.78,3102.43,6549440600,87992881712
2011/1/11,3096.25,3124.92,3131.29,3084.51,5698591700,74832449402
2011/1/12,3135.18,3142.34,3153.43,3099.41,5849851800,71551421416
2011/1/13,3153.99,3141.28,3157.04,3127.16,5193698800,66925783701
2011/1/14,3129.67,3091.86,3129.67,3083.51,5335143900,71012100141
2011/1/17,3067.43,2974.35,3078.88,2968.61,6680756200,85454121099
2011/1/18,2965.42,2977.65,2984.47,2947.6,4296456400,54652416480
2011/1/19,2978.46,3044.85,3045.61,2967.24,5657194200,72772226927
2011/1/20,3037.86,2944.71,3037.86,2944.5,6104664300,76440116738
2011/1/21,2935.23,2983.46,3030.26,2935.14,7310296600,85157790710
2011/1/24,2986.09,2954.23,2999.2,2943.92,6547254500,75805236102
2011/1/25,2949.65,2938.65,2960.59,2919.16,4898268900,57572819537
